category_id,name,role_id,channel_id,k
1349307959175282735,コラボ,1349307958810513410,1349307959175282737,""
1349307959313825810,モンスターハンター,1349307958810513411,1349307959313825811,""
1349307959313825805,誕生日,1349307958810513412,1349307959313825807,""
1349307959313825805,凸待ち,1349307958810513413,1349307959313825806,""
1349307959490121791,ASMR,1349307958810513414,1349307959490121792,""
1349307959490121791,Backrooms,1349307958810513415,1349307959490121793,""
1349307959175282738,雑談,1349307958810513416,1349307959313825804,""
1349307959313825812,四十七瀬の郷土料理,1349307958810513417,1349307959313825813,""
1349307959175282735,カラオケ,1349307958823227412,1349307959175282736,""
1349307959175282733,歌枠,1349307958823227413,1349307959175282734,""
